OBJECT;PARENT;NAME;
FORMULA_2_2_3;ALGORITHM2_2;Rent cost for communication channels;
FORMULA_2_2_4;ALGORITHM2_2;Total cost for FOCL maintenance for the entire period of operation (currency units/year);
ALGORITHM2_3;METHOD2;Algorithm for total RTS construction  cost evaluation between object and SN in locality;
FORMULA_2_3_1;ALGORITHM2_3;Number of retransmission sites calculation (units);
FORMULA_2_3_2;ALGORITHM2_3;Number of repeaters by selected technology calculation (units);
FORMULA_2_3_3;ALGORITHM2_3;Internal RTS devices total cost (currency units);
FORMULA_2_3_4;ALGORITHM2_3;Antenna feeder devices total cost  (currency units);
FORMULA_2_3_5;ALGORITHM2_3;Main material total cost for RTS pylon construction (currency units);
FORMULA_2_3_6;ALGORITHM2_3;Total cost for geodetic work at RTS pylon location (currency units);
FORMULA_2_3_7;ALGORITHM2_3;Total cost for pylon construction of RTS antenna feeder devices (currency units);
FORMULA_2_3_8;ALGORITHM2_3;Total cost for all antenna feeder devices installation and commissioning for along RTS route (currency units);
FORMULA_2_3_9;ALGORITHM2_3;Total cost for internal devices installation and commissioning for RTS (currency units);
FORMULA_2_3_10;ALGORITHM2_3;Total cost for design solutions coordination on RTS construction (currency units);
FORMULA_2_3_11;ALGORITHM2_3;Design cost (currency units);
FORMULA_2_3_12;ALGORITHM2_3;Width of frequency channel required for implementation of RTS channel of required bandwidth (throughput) per one RTS channel;
FORMULA_2_3_13;ALGORITHM2_3;Spectrum licensing cost per transmitter (end-terminals and repeaters);
FORMULA_2_3_14;ALGORITHM2_3;Spectrum licensing cost for whole channel;
FORMULA_2_3_15;ALGORITHM2_3;RTS construction total cost (currency units);
FORMULA_2_3_16;ALGORITHM2_3;Total cost of equipment and materials for the construction of the RTS;
ALGORITHM2_4;METHOD2;Algorithm for total RTS maintenance cost evaluation between object and SN in locality;
FORMULA_2_4_1;ALGORITHM2_4;Total cost for all RTS pylon maintenance (currency units/year);
FORMULA_2_4_2;ALGORITHM2_4;Total cost for all RTS antenna feeder devices maintenance (currency units/year);
FORMULA_2_4_3;ALGORITHM2_4;Total cost for RTS internal devices maintenance (currency units/year);
FORMULA_2_4_4;ALGORITHM2_4;Rent cost for communication channels;
FORMULA_2_4_5;ALGORITHM2_4;Annual spectrum licensing cost per transmitter (end-terminals and repeaters);
FORMULA_2_4_6;ALGORITHM2_4;Annual spectrum licensing cost for whole channel;
FORMULA_2_4_7;ALGORITHM2_4;Total cost of RTS maintenance (currency units/year);
ALGORITHM2_5;METHOD2;Algorithm for determining the total cost of the installation and configuration of the satellite communication channel ;
FORMULA_2_5_1;ALGORITHM2_5;Required number of VSAT sets (units);
FORMULA_2_5_2;ALGORITHM2_5;Total cost of VSAT equipment and installation materials (currency units);
FORMULA_2_5_3;ALGORITHM2_5;Total cost of installation and configuration of all VSAT sets (currency units);
FORMULA_2_5_4;ALGORITHM2_5;Design cost (currency units);
FORMULA_2_5_5;ALGORITHM2_5;Total cost of establishing a satellite communication channel (currency units);
ALGORITHM2_6;METHOD2;Algorithm for determining the total cost of the maintenance of the satellite communication channel ;
FORMULA_2_6_1;ALGORITHM2_6;The total cost of service of  VSAT (currency units/year);
FORMULA_2_6_2;ALGORITHM2_6;Total rent cost for communication channels (currency units/year);
FORMULA_2_6_3;ALGORITHM2_6;The total cost of maintenance of the satellite channel  (currency units/year);
ALGORITHM2_7;METHOD2;Algorithm for calculating NPV (without Income);
FORMULA_2_7_1;ALGORITHM2_7;Tax on Profit (currency units/year);
FORMULA_2_7_2;ALGORITHM2_7;Net profit (Annual cash flow) (currency units/year);
FORMULA_2_7_3;ALGORITHM2_7;Discounted cash flow (currency units/year);
FORMULA_2_7_4;ALGORITHM2_7;Net Present Value (currency units/year);
ALGORITHM2_8;METHOD2;Determination of the total cost of solar panels and school power station installation and commissioning;
FORMULA_2_8_1;ALGORITHM2_8;Determining the total power to supply power to active network equipment in the school (Watt);
FORMULA_2_8_2;ALGORITHM2_8;Daily need of school for electrical energy to power network equipment (Watt*hour);
FORMULA_2_8_3;ALGORITHM2_8;Required number of solar panels (units);
FORMULA_2_8_4;ALGORITHM2_8;Required power of school power station (Watt);
FORMULA_2_8_5;ALGORITHM2_8;Cost of equipment and materials  to supply power to active network equipment in the school (currency units);
FORMULA_2_8_6;ALGORITHM2_8;Total cost of labor for solar panels and school power station installation and commissioning;
ALGORITHM2_9;METHOD2;Determination of annual operation cost of solar panels and school power station ;
FORMULA_2_9_1;ALGORITHM2_9;Annual operation cost of solar panels and school power station (currency units/year);
ALGORITHM2_10;METHOD2;Algorithm for determining the total cost of the installation and configuration of the cellular communication channel;
FORMULA_2_10_1;ALGORITHM2_10;Required number of cellural sets (units);
FORMULA_2_10_2;ALGORITHM2_10;Total cost of cellural equipment and installation materials (currency units);
FORMULA_2_10_3;ALGORITHM2_10;Total cost of installation and configuration of all cellural sets (currency units);
FORMULA_2_10_4;ALGORITHM2_10;Design cost (currency units);
FORMULA_2_10_5;ALGORITHM2_10;Total cost of establishing a cellural communication channel (currency units);
ALGORITHM2_11;METHOD2;Algorithm for determining the total cost of the maintenance of the cellural communication channel ;
FORMULA_2_11_1;ALGORITHM2_11;The total cost of service of  cellural (currency units/year);
FORMULA_2_11_2;ALGORITHM2_11;Total rent cost for cellural communication channels (currency units/year);
FORMULA_2_11_3;ALGORITHM2_11;The total cost of maintenance of the cellural channel  (currency units/year);
ALGORITHM2_12;METHOD2;Potential rental income for additional fibers, cable duct and bandwidth (extra capacity) (currency units/year);
FORMULA_2_12_1;ALGORITHM2_12;Extra bandwidth of channel (without Internet) that could be provided for rent (Mbps*km);
FORMULA_2_12_2;ALGORITHM2_12;Number of fibers used to connect school;
FORMULA_2_12_3;ALGORITHM2_12;Total length of additional fibers that could be provided to rent (km);
FORMULA_2_12_4;ALGORITHM2_12;Total length of cable duct that could be provided to rent (km);
FORMULA_2_12_5;ALGORITHM2_12;Potential rental income for additional fibers, cable duct and bandwidth (extra capacity) (currency units/year);
ALGORITHM2_13;METHOD2;Simplified approach for calculation CAPEX and OPEX;
FORMULA_2_13_1;ALGORITHM2_13;Cost of fixed Internet;
FORMULA_2_13_2;ALGORITHM2_13;Cost of mobile Internet;
FORMULA_2_13_3;ALGORITHM2_13;Cost of satellite Internet;
FORMULA_2_13_4;ALGORITHM2_13;Middle Mile - CAPEX of FOCL;
FORMULA_2_13_5;ALGORITHM2_13;Middle Mile - OPEX of FOCL;
FORMULA_2_13_6;ALGORITHM2_13;Middle Mile - CAPEX of RTS;
FORMULA_2_13_7;ALGORITHM2_13;Middle Mile - OPEX of RTS;
FORMULA_2_13_8;ALGORITHM2_13;Middle Mile - CAPEX of Satellite;
FORMULA_2_13_9;ALGORITHM2_13;Middle Mile - OPEX of Satellite;
FORMULA_2_13_10;ALGORITHM2_13;Last Mile - CAPEX for Cellular BS;
FORMULA_2_13_11;ALGORITHM2_13;Last Mile - OPEX for Cellular BS;
FORMULA_2_13_12;ALGORITHM2_13;Last Mile - CAPEX for WIFi;
FORMULA_2_13_13;ALGORITHM2_13;Last Mile - OPEX for WIFI;
FORMULA_2_13_14;ALGORITHM2_13;Last Mile - CAPEX for Ethernet;
FORMULA_2_13_15;ALGORITHM2_13;Last Mile - OPEX for Ethernet;
METHOD3;;Methodologies for cost estimation and technologies selection for building local area networks (LAN) in schools;
ALGORITHM3_0;METHOD3;Determination of the total cost of STC installation, commissioning and operation;
FORMULA_3_0_1;ALGORITHM3_0;The total cost of acquisition and installation of equipment and materials for the construction of a STC (currency units);
FORMULA_3_0_2;ALGORITHM3_0;The operational cost of STC (currency units per year);
FORMULA_3_0_3;ALGORITHM3_0;The total cost of installation, commissioning and operation of the STC (currency units);
ALGORITHM3_1;METHOD3;Determining the total cost of installation, commissioning and operation of a wired LAN for educational segment of IT equipment;
FORMULA_3_1_1;ALGORITHM3_1;Average length of a section of one cable from the STC to the point of entry of cables into the classroom (meters);
FORMULA_3_1_2;ALGORITHM3_1;Total TOs number to be installed for related educational equipment (units);
FORMULA_3_1_3;ALGORITHM3_1;The average length of the cable section from the classroom entry point up to the STC (meters);
FORMULA_3_1_4;ALGORITHM3_1;Length of LAN cables within the classroom to the telecommunication outlets (meters);
FORMULA_3_1_5;ALGORITHM3_1;Length of LAN cables from STC to classrooms (meters);
FORMULA_3_1_6;ALGORITHM3_1;Total cable length of the wired segment LAN (meters);
FORMULA_3_1_7;ALGORITHM3_1;The number of switches of the selected model  (units);
FORMULA_3_1_8;ALGORITHM3_1;Cost of purchasing cables for LAN installation (currency units);
FORMULA_3_1_9;ALGORITHM3_1;Total cost of laying cables for LAN installation (currency units);
FORMULA_3_1_10;ALGORITHM3_1;Cost of purchasing of Tos (currency units);
FORMULA_3_1_11;ALGORITHM3_1;Total cost of purchasing, installation and TOs commissioning (currency units);
FORMULA_3_1_12;ALGORITHM3_1;Cost of purchasing switching equipment with ports backup (currency units);
FORMULA_3_1_13;ALGORITHM3_1;Total cost of installation and commissioning of switches (currency units);
FORMULA_3_1_14;ALGORITHM3_1;Design cost (currency units);
FORMULA_3_1_15;ALGORITHM3_1;Total cost of organizing a wired LAN segment (currency units);
FORMULA_3_1_16;ALGORITHM3_1;Cost of LAN cable maintenance (currency units per year);
FORMULA_3_1_17;ALGORITHM3_1;Cost of switches maintenance  (currency units per year);
FORMULA_3_1_18;ALGORITHM3_1;Total maintenance cost of a wired LAN for the entire maintenance period  (currency units);
ALGORITHM3_2;METHOD3;Determining the total cost of installation, commissioning and maintenance of the institution LAN wireless segment;
FORMULA_3_2_1;ALGORITHM3_2;The total area of classrooms in EI , square meters;
FORMULA_3_2_2;ALGORITHM3_2;The number of access points for the organization of WES, units;
FORMULA_3_2_3;ALGORITHM3_2;Total length of LAN cables from STC to WIFI AP, meters;
FORMULA_3_2_4;ALGORITHM3_2;Number of switches to connect WIFI AP of selected model, units;
FORMULA_3_2_5;ALGORITHM3_2;Cost of purchasing cables to connect WIFI access points, currency units;
FORMULA_3_2_6;ALGORITHM3_2;Total cost of laying cables to connect WIFI access points, currency units;
FORMULA_3_2_7;ALGORITHM3_2;Cost of purchasing WIFI access points for installation in classrooms, currency units;
FORMULA_3_2_8;ALGORITHM3_2;Total cost of purchasing and installation of WIFI AP, currency units;
FORMULA_3_2_9;ALGORITHM3_2;Total cost of purchasing of access switches for connecting APs with ports backups, currency units;
FORMULA_3_2_10;ALGORITHM3_2;Total cost of installation and commissioning of access switches, currency units;
FORMULA_3_2_11;ALGORITHM3_2;Design cost, currency units;
FORMULA_3_2_12;ALGORITHM3_2;Total cost of the LAN WES organization, currency units;
FORMULA_3_2_13;ALGORITHM3_2;Cable maintenance cost in areas from STC to WIFI AP, currency units per year;
FORMULA_3_2_14;ALGORITHM3_2;Cost of access switches maintenance for APs connection, currency units per year;
FORMULA_3_2_15;ALGORITHM3_2;APs maintenance cost, currency units per year;
FORMULA_3_2_16;ALGORITHM3_2;Total maintenance cost of LAN WES for the entire maintenance period, currency units;
ALGORITHM3_3;METHOD3;Determining the cost of the public wireless segment (PWS) based on the HOTSPOT organization;
FORMULA_3_3_1;ALGORITHM3_3;The number of wireless routers for the organization of PWS, units;
FORMULA_3_3_2;ALGORITHM3_3;Total length of LAN cables from STC to HOTSPOT routers, meters;
FORMULA_3_3_3;ALGORITHM3_3;Number of switches of the selected model for connection of HOTSPOT routers, units;
FORMULA_3_3_4;ALGORITHM3_3;The cost of purchasing cables to connect HOTSPOT routers with a margin of 10% of the length for laying cables, currency units;
FORMULA_3_3_5;ALGORITHM3_3;Total cost of laying cables to connect HOTSPOT routers, currency units;
FORMULA_3_3_6;ALGORITHM3_3;The cost of purchasing HOTSPOT (taking into account the materials required to install and obtain permission to use radio frequencies in regions where necessary) for PWS, currency units;
FORMULA_3_3_7;ALGORITHM3_3;The total cost of purchasing and installation of HOTSPOT routers, currency units;
FORMULA_3_3_8;ALGORITHM3_3;Total cost of purchasing access switches for the PWS organization, currency units;
FORMULA_3_3_9;ALGORITHM3_3;Total cost of installation and commissioning of access switch equipment, currency units;
FORMULA_3_3_10;ALGORITHM3_3;Design cost, currency units;
FORMULA_3_3_11;ALGORITHM3_3;Total cost of organization of PWS LAN, currency units;
FORMULA_3_3_12;ALGORITHM3_3;Cable maintenance cost in areas from STC to HOTSPOT routers, currency units per year;
FORMULA_3_3_13;ALGORITHM3_3;Determining the cost of access switches maintenance to connect HOTSPOT routers, currency units per year;
FORMULA_3_3_14;ALGORITHM3_3;Determining the cost of HOTSPOT routers maintenance, currency units per year;
FORMULA_3_3_15;ALGORITHM3_3;Determination of the total cost of PWS LAN maintenance during the maintenance period, cyrrency units;
METHOD4;;Topology accounting methodology for a large number of objects;
ALGORITHM4_1;METHOD4;Geodesic distance calculation between investigated objects (localities) in estimated broadband network;
FORMULA_4_1_1;ALGORITHM4_1;Geodesic distance between two objects, meters;
FORMULA_4_1_2;ALGORITHM4_1;Distance connectivity matrix between investigated objects (localities) in estimated broadband network, km;
FORMULA_4_1_3;ALGORITHM4_1;Identification of distance to the fiber for all not-connected objects (localities) ;
ALGORITHM4_2;METHOD4;NPV matrix calculations;
FORMULA_4_2_1;ALGORITHM4_2;NPV matrix calculation (fiber vs microwave);
FORMULA_4_2_2;ALGORITHM4_2;NPV matrix filtering (by possible satellite connections);
ALGORITHM4_3;METHOD4;Optimal path selection between set of objects using NPV connectivity matrix;
FORMULA_4_3_1;ALGORITHM4_3;Optimal path calculation (by better NPV);
ALGORITHM4_4;METHOD4;Maximum distance and bandwidth based lattice clustering algorithm;
FORMULA_4_4_1;ALGORITHM4_4;Determination of the lattice borders coordinates;
FORMULA_4_4_2;ALGORITHM4_4;Determination of the lattice cells number;
FORMULA_4_4_3;ALGORITHM4_4;Determination of the lattice cells borders coordinates;
FORMULA_4_4_4;ALGORITHM4_4;Selecting of all objects in the cell by borders coordinates;
ALGORITHM4_5;METHOD4;Step-by-step topology optimization algorithm;
FORMULA_4_5_1;ALGORITHM4_5;Determination of the Basenode (BN);
FORMULA_4_5_2;ALGORITHM4_5;Calculation of 4-row NPV matrix (from each regular node to BN, 4 possible technologies);
FORMULA_4_5_3;ALGORITHM4_5;Sorting all regular nodes by distance, then by bandwidth requirement;
FORMULA_4_5_4;ALGORITHM4_5;Building a spanning tree by step-by-step connection of regular nodes to BN;
